Name,ProductGroup,SKU,Barcode,MeasurementUnit,Cost,Markup,Price,Tax,IsTaxInclusivePrice,IsPriceChangeAllowed,IsUsingDefaultQuantity,IsService,IsEnabled,Description,Quantity,Supplier,ReorderPoint,PreferredQuantity,LowStockWarning,WarningQuantity
Jabon liquido Tipo Skip ,Hogar,1,2508012007409,Litro,334.717455168041,198.7594,1000.0,,0,0,0,0,1,,699.8,,,,,
Suavizante Tipo Vivere,Hogar,2,2508081741426,Litro,412.753680463089,142.2752,1000.0,,0,0,0,0,1,,422,,,,,
Detergente 10% (amarillo),Hogar,3,2508081755355,Litro,303.723628150506,130.4727,700.0,,0,0,0,0,1,,882.5,,,,,
Hipoclorito 10%,Hogar,4,,Litro,376.733308524151,112.3518,800.0,,0,0,0,0,1,,1657,,,,,
Desodorante de piso LAVANDA,Hogar,5,2508081747190,Litro,72.6,588.7052,500.0,,0,0,0,0,1,,65,,100,100,0,0
Combo 1 (Jabon 5lt + Suavizante 5lt),Combo,6,,Unidad,0,0,6500.0,,0,0,0,0,1,,9950,,20,20,0,0
Combo 2 (Detergente 10% 5lt + Lavandina 5lt + Desodorante 5lt),Hogar,7,,Unidad,0,0,6000.0,,0,0,1,0,0,,4,,20,0,0,0
Lavandina,Hogar,8,2508081754228,Litro,141.33,253.7819,500.0,,0,0,0,0,1,,862,,,,,
Escobillon Palermo,Escobas,9,7798048833720,Unidad,1407.33,0,2900.0,,0,0,1,0,1,,0,,18,0,1,5
Escoba moderna,Escobas,10,7798048833065,Unidad,1039.44,0,2080.0,,0,0,0,0,0,,0,,12,0,1,5
Trapo de piso consorcio gris,Hogar,11,7798349550029,Unidad,537.04,102.9644,1090.0,,0,0,0,0,0,,0,,12,0,1,5
Trapo de piso amarillo,Hogar,R336,,Unidad,602.8,0,1200.0,,0,0,1,0,0,,0,,12,0,1,5
Rejilla pabilo doble NUVIA,Cocina,12,7798413490077,Unidad,226.15,253.7475,800.0,,0,0,1,0,1,,2,,12,12,1,5
Franela MAKE,Hogar,13,7798092963985,Unidad,315.522352941176,375.4021,1500.0,,0,0,0,0,1,,15,,0,0,1,5
Cabo madera 120 cm,Escobas,R719,,Unidad,500.63,139.698,1200.0,,0,0,0,0,1,,-1,,0,0,1,5
Pack 10 bolsas - 50x70cm,Hogar,14,754697461247,Unidad,290.85,0,420.0,,0,0,1,0,0,,0,,0,0,1,5
Pack 10 bolsas - 60x90cm,Hogar,15,754697461223|7790458656692|7794459000287,Unidad,499.356015884942,200.3869,1500.0,,0,0,1,0,1,,24,,0,0,1,5
Pack 10 bolsas - 80x110cm,Hogar,16,754697461230|7798413499957,Unidad,871.83,129.4025,2000.0,,0,0,1,0,1,,16,,0,0,1,5
Esponja salvauña ok,Cocina,17,7791625001451,Unidad,210.24,0,300.0,,0,0,1,0,1,,-1,,,,,
Esponja acero chica 10gr,Cocina,18,7791625004025,Unidad,199.36,65.5297,330.0,,0,0,0,0,0,,0,,0,0,1,5
Esponja acero mediana 15gr,Cocina,19,7791625004636,Unidad,293.91,70.1201,500.0,,0,0,0,0,0,,-1,,,,,
Pala punta de goma,Hogar,20,7798164490104,Unidad,676.57,0,1200.0,,0,0,1,0,1,,5,,,,,
Guante de trabajo,Hogar,R235,,Unidad,698.7,0,1170.0,,0,0,1,0,1,,-8,,,,,
Guantes latex MAKE,Cocina,21,7798092962308,Unidad,978.18,104.4613,2000.0,,0,0,0,0,1,,4,,,,,
